iter	MultiClass
0	2.506056287
1	2.149756048
2	1.887973068
3	1.689959251
4	1.513286617
5	1.38420461
6	1.258624096
7	1.165145987
8	1.07041731
9	0.9925385212
10	0.9204732835
11	0.8629063949
12	0.7993477146
13	0.7503283835
14	0.706455343
15	0.6650101076
16	0.6260001158
17	0.592195361
18	0.5581745043
19	0.5283989775
20	0.5034169107
21	0.4780418761
22	0.4553129476
23	0.4360727525
24	0.4150488569
25	0.3956382191
26	0.3771647745
27	0.3575389012
28	0.3423240371
29	0.3273058587
30	0.3137602769
31	0.3002940592
32	0.2877178442
33	0.2764443858
34	0.2662935479
35	0.2556355178
36	0.2460810296
37	0.2356061729
38	0.2262371055
39	0.2178106441
40	0.2097636562
41	0.2042959553
42	0.1973726865
43	0.191079441
44	0.1845570465
45	0.1790946404
46	0.1733983655
47	0.1689200052
48	0.1637287608
49	0.1581275152
50	0.1531531232
51	0.1487776067
52	0.1449130115
53	0.1409430009
54	0.1379347286
55	0.1342626194
56	0.1307475997
57	0.1270727704
58	0.1242126997
59	0.1206398623
60	0.1179967137
61	0.1152724828
62	0.1123481156
63	0.1092620693
64	0.1072018993
65	0.1046954118
66	0.1021615498
67	0.09977855364
68	0.09782214574
69	0.09577371096
70	0.09395167512
71	0.09218085935
72	0.09035505968
73	0.08856461036
74	0.08697457673
75	0.08556445236
76	0.08418479882
77	0.08247143582
78	0.08117222782
79	0.08002192756
80	0.07883342887
81	0.0777754822
82	0.07669698596
83	0.07483542962
84	0.07319336844
85	0.07226806774
86	0.07108156186
87	0.07006665976
88	0.0687706429
89	0.06771502522
90	0.06675369033
91	0.06576102356
92	0.06476790298
93	0.06354305118
94	0.06276043233
95	0.06171879438
96	0.06087368961
97	0.06026555359
98	0.05912887576
99	0.05850746224
100	0.05755954686
101	0.056747819
102	0.056126331
103	0.05553944566
104	0.05489912473
105	0.05426286644
106	0.05352099017
107	0.05275285358
108	0.05194219409
109	0.05146559682
110	0.05059320528
111	0.05017056094
112	0.04934139703
113	0.04896619677
114	0.04824455384
115	0.04764256662
116	0.04691870536
117	0.04647074037
118	0.04602423981
119	0.04568167362
120	0.04524245805
121	0.04469925752
122	0.04432729672
123	0.04397237287
124	0.04342417899
125	0.04284334607
126	0.04234603982
127	0.04190271476
128	0.04154729561
129	0.04121919994
130	0.04068003165
131	0.04018041634
132	0.0397599761
133	0.03942724954
134	0.03894048216
135	0.03858475218
136	0.03823657309
137	0.03798628021
138	0.03758148865
139	0.03727324828
140	0.03675124209
141	0.03653040758
142	0.03619591502
143	0.03591736732
144	0.0356814158
145	0.03529246833
146	0.03500088
147	0.03454648769
148	0.03433440052
149	0.03414018143
150	0.03375693567
151	0.03348815686
152	0.03324706472
153	0.03306538496
154	0.0327056633
155	0.0324751902
156	0.0321973961
157	0.03198973779
158	0.0317418113
159	0.03144563961
160	0.03121423809
161	0.03082058877
162	0.03061579678
163	0.03045865895
164	0.03025509769
165	0.03011589184
166	0.02980149117
167	0.02948858879
168	0.0292363748
169	0.02892547978
170	0.02879376772
171	0.02863429597
172	0.0283870633
173	0.02825109459
174	0.02805347256
175	0.02791444348
176	0.02758457056
177	0.02743106272
178	0.02715791357
179	0.02696942742
180	0.02678256742
181	0.02660981621
182	0.02646740439
183	0.02625858433
184	0.02612495876
185	0.0259716521
186	0.02584596099
187	0.02566574923
188	0.02552829306
189	0.02529944422
190	0.02516319634
191	0.02498054038
192	0.02487443733
193	0.02468190007
194	0.02459822815
195	0.02446804922
196	0.02431070433
197	0.02421755921
198	0.02408259482
199	0.02396212998
200	0.02384966808
201	0.02368879328
202	0.02358987142
203	0.02343998514
204	0.02321983391
205	0.02302222861
206	0.02292165144
207	0.02282945023
208	0.0227079383
209	0.02257180412
210	0.0222988333
211	0.02220538044
212	0.0220639995
213	0.02192972212
214	0.02178311575
215	0.02168904246
216	0.02158040454
217	0.02143409764
218	0.02132577925
219	0.02119347713
220	0.02099089935
221	0.02087580977
222	0.02078467635
223	0.0206267758
224	0.02056573898
225	0.02047967659
226	0.02041073184
227	0.02030804098
228	0.02021020351
229	0.02008680347
230	0.01999341489
231	0.01988302111
232	0.0198235515
233	0.01977499567
234	0.01963533362
235	0.01954542598
236	0.01941338765
237	0.01932547797
238	0.01923382207
239	0.01910485602
240	0.01900599328
241	0.01888958606
242	0.01882048288
243	0.01874651392
244	0.01869226414
245	0.0186160467
246	0.01842703471
247	0.01836822513
248	0.01830612843
249	0.01819611142
250	0.01812213342
251	0.01803009893
252	0.01797531932
253	0.01793348064
254	0.01787394937
255	0.01778870975
256	0.01771292187
257	0.01762432526
258	0.01756479513
259	0.0174754633
260	0.01739290828
261	0.01732840567
262	0.01725536098
263	0.01721153219
264	0.01712443734
265	0.01698667606
266	0.0169004243
267	0.01678027632
268	0.01671112117
269	0.01661733336
270	0.0165575383
271	0.0165028086
272	0.01637085852
273	0.01628854898
274	0.0162192546
275	0.01617864153
276	0.01608678697
277	0.01602967535
278	0.01598017975
279	0.01591703807
280	0.01586818201
281	0.01576169204
282	0.01568522319
283	0.01561075254
284	0.01552668939
285	0.01545604702
286	0.01541189277
287	0.01533834934
288	0.01529304507
289	0.01523618822
290	0.01517695106
291	0.0151020226
292	0.01504949385
293	0.01494604757
294	0.01488528778
295	0.01480358772
296	0.01472079429
297	0.01466272878
298	0.01462274504
299	0.01458069161
300	0.01451981525
301	0.01445375072
302	0.01441818044
303	0.01435999109
304	0.01429936809
305	0.01425102761
306	0.01417503027
307	0.01407807081
308	0.01401415367
309	0.01397999452
310	0.01392980975
311	0.01388323675
312	0.01384598936
313	0.01378979322
314	0.01374414905
315	0.01370887697
316	0.01368352492
317	0.01363928432
318	0.01360088054
319	0.01353622556
320	0.01347754362
321	0.01341349778
322	0.01338412733
323	0.01333604906
324	0.013299921
325	0.01326916851
326	0.01323759722
327	0.01317736697
328	0.01314286962
329	0.01308815171
330	0.01305563296
331	0.01297833552
332	0.01294130955
333	0.01289246324
334	0.01282086855
335	0.0127590345
336	0.01271902165
337	0.01265993756
338	0.01258217575
339	0.01254225506
340	0.01249828899
341	0.01246500429
342	0.01241448831
343	0.01238381219
344	0.01234702862
345	0.01232102735
346	0.01224174357
347	0.01221580319
348	0.01217827606
349	0.01214114108
350	0.01208911252
351	0.01204652911
352	0.01201527979
353	0.01198064452
354	0.0119581338
355	0.01192010345
356	0.01187726787
357	0.01185450214
358	0.01180830677
359	0.01178816291
360	0.01174981488
361	0.01171279743
362	0.01168157792
363	0.01164624997
364	0.01159982704
365	0.01157207661
366	0.01153590643
367	0.01150061004
368	0.01148105661
369	0.01142098707
370	0.01139472406
371	0.01133796238
372	0.01132233236
373	0.01129439363
374	0.01126245358
375	0.01120514893
376	0.01116671277
377	0.01113059056
378	0.01108562713
379	0.01105689145
380	0.01102775126
381	0.01099683283
382	0.01097238232
383	0.01091532117
384	0.01088708384
385	0.01086295028
386	0.01084024774
387	0.01080361328
388	0.01076001758
389	0.01072788447
390	0.01069520764
391	0.01067255099
392	0.01064315795
393	0.01059775583
394	0.01055810408
395	0.01050942645
396	0.01046440696
397	0.01042075959
398	0.01039775557
399	0.0103809903
400	0.01034904175
401	0.01032259296
402	0.01027625244
403	0.01024895387
404	0.01022397696
405	0.01020132264
406	0.01016759397
407	0.01014658145
408	0.01013193313
409	0.01010099588
410	0.01004686386
411	0.01002256552
412	0.0100034397
413	0.00998696036
414	0.009966583978
415	0.009918579852
416	0.00988268632
417	0.009845682961
418	0.009821088849
419	0.009775079127
420	0.009736953091
421	0.00971404406
422	0.009676060971
423	0.009657889196
424	0.009634427656
425	0.00961954902
426	0.009599387657
427	0.0095720787
428	0.009553669521
429	0.009534091969
430	0.009514333551
431	0.009489650588
432	0.009450278753
433	0.00941605032
434	0.009397118427
435	0.0093648349
436	0.009341994827
437	0.009327659512
438	0.009292524644
439	0.00926988338
440	0.009252661617
441	0.009223118678
442	0.009190551908
443	0.009172358019
444	0.009154556988
445	0.009131882418
446	0.00910962968
447	0.009087697067
448	0.009074944052
